CUSTOMER:00000001000000000300000008d0:1:d CUSTOMER:00000001000000000300000008d0:1:e CUSTOMER:00000001000000000300000008d0:1:f CUSTOMER:00000001000000000300000008d0:1:q
CUSTOMER:00000001000000000a0000000470:1:d CUSTOMER:00000001000000000a0000000470:1:e CUSTOMER:00000001000000000a0000000470:1:f CUSTOMER:00000001000000000a0000000470:1:q
WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000002:2 DISTRICT:000000010000000002:3
WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000003:2 DISTRICT:000000010000000003:3
WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000005:2 DISTRICT:000000010000000005:3
CUSTOMER:000000010000000001000000092c:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000001:2 DISTRICT:000000010000000001:3
CUSTOMER:0000000100000000070000000ba0:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000007:2 DISTRICT:000000010000000007:3
CUSTOMER:000000010000000009000000091b:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000009:2 DISTRICT:000000010000000009:3
CUSTOMER:00000001000000000800000004cc:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000008:2 DISTRICT:000000010000000008:3
CUSTOMER:0000000100000000040000000730:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000004:2 DISTRICT:000000010000000004:3
CUSTOMER:00000001000000000700000000f8:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000007:2 DISTRICT:000000010000000007:3
CUSTOMER:00000001000000000a0000000520:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:00000001000000000a:2 DISTRICT:00000001000000000a:3
CUSTOMER:00000001000000000900000004f0:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000009:2 DISTRICT:000000010000000009:3
CUSTOMER:00000001000000000a0000000518:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:00000001000000000a:2 DISTRICT:00000001000000000a:3
CUSTOMER:00000001000000000100000007c7:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000001:2 DISTRICT:000000010000000001:3
CUSTOMER:0000000100000000060000000aa6:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000006:2 DISTRICT:000000010000000006:3
CUSTOMER:00000001000000000600000004ef:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000006:2 DISTRICT:000000010000000006:3
CUSTOMER:00000001000000000600000004f0:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000006:2 DISTRICT:000000010000000006:3
CUSTOMER:00000001000000000400000001f0:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000004:2 DISTRICT:000000010000000004:3
STOCK:000000010000004576:1:o STOCK:000000010000004576:1:p STOCK:000000010000004576:1:q STOCK:000000010000000cab:1:c STOCK:000000010000000cab:1:i STOCK:000000010000000cab:1:n STOCK:000000010000000cab:1:o STOCK:000000010000000cab:1:p STOCK:000000010000000cab:1:q STOCK:0000000100000111bf:1:c STOCK:0000000100000111bf:1:i STOCK:0000000100000111bf:1:n STOCK:0000000100000111bf:1:o STOCK:0000000100000111bf:1:p STOCK:0000000100000111bf:1:q
STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c STOCK:0000000100000102bc:1:i STOCK:0000000100000102bc:1:n STOCK:0000000100000102bc:1:o STOCK:0000000100000102bc:1:p STOCK:0000000100000102bc:1:q STOCK:000000010000004576:1:c STOCK:000000010000004576:1:i STOCK:000000010000004576:1:n STOCK:000000010000004576:1:o STOCK:000000010000004576:1:p STOCK:000000010000004576:1:q STOCK:000000010000000cab:1:c
STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c STOCK:0000000100000102bc:1:i STOCK:0000000100000102bc:1:n STOCK:0000000100000102bc:1:o STOCK:0000000100000102bc:1:p STOCK:0000000100000102bc:1:q STOCK:000000010000004576:1:c STOCK:000000010000004576:1:i STOCK:000000010000004576:1:n STOCK:000000010000004576:1:o STOCK:000000010000004576:1:p STOCK:000000010000004576:1:q
STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c STOCK:0000000100000102bc:1:i STOCK:0000000100000102bc:1:n STOCK:0000000100000102bc:1:o STOCK:0000000100000102bc:1:p STOCK:0000000100000102bc:1:q STOCK:000000010000004576:1:c STOCK:000000010000004576:1:i STOCK:000000010000004576:1:n STOCK:000000010000004576:1:o STOCK:000000010000004576:1:p
STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c STOCK:0000000100000102bc:1:i STOCK:0000000100000102bc:1:n STOCK:0000000100000102bc:1:o STOCK:0000000100000102bc:1:p STOCK:0000000100000102bc:1:q STOCK:000000010000004576:1:c STOCK:000000010000004576:1:i STOCK:000000010000004576:1:n STOCK:000000010000004576:1:o
STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c STOCK:0000000100000102bc:1:i STOCK:0000000100000102bc:1:n STOCK:0000000100000102bc:1:o STOCK:0000000100000102bc:1:p STOCK:0000000100000102bc:1:q STOCK:000000010000004576:1:c STOCK:000000010000004576:1:i STOCK:000000010000004576:1:n
STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c STOCK:0000000100000102bc:1:i STOCK:0000000100000102bc:1:n STOCK:0000000100000102bc:1:o STOCK:0000000100000102bc:1:p STOCK:0000000100000102bc:1:q STOCK:000000010000004576:1:c STOCK:000000010000004576:1:i
STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c STOCK:0000000100000102bc:1:i STOCK:0000000100000102bc:1:n STOCK:0000000100000102bc:1:o STOCK:0000000100000102bc:1:p STOCK:0000000100000102bc:1:q STOCK:000000010000004576:1:c
STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c STOCK:0000000100000102bc:1:i STOCK:0000000100000102bc:1:n STOCK:0000000100000102bc:1:o STOCK:0000000100000102bc:1:p STOCK:0000000100000102bc:1:q
STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c STOCK:0000000100000102bc:1:i STOCK:0000000100000102bc:1:n STOCK:0000000100000102bc:1:o STOCK:0000000100000102bc:1:p
STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c STOCK:0000000100000102bc:1:i STOCK:0000000100000102bc:1:n STOCK:0000000100000102bc:1:o
STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c STOCK:0000000100000102bc:1:i STOCK:0000000100000102bc:1:n
STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c STOCK:0000000100000102bc:1:i
STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q STOCK:0000000100000102bc:1:c
STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p STOCK:00000001000000ce6f:1:q
STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o STOCK:00000001000000ce6f:1:p
STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n STOCK:00000001000000ce6f:1:o
STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i STOCK:00000001000000ce6f:1:n
STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c STOCK:00000001000000ce6f:1:i
STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q STOCK:00000001000000ce6f:1:c
STOCK:0000000100000049fe:1:o STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p STOCK:0000000100000115fd:1:q
STOCK:0000000100000049fe:1:n STOCK:0000000100000049fe:1:o STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o STOCK:0000000100000115fd:1:p
STOCK:0000000100000049fe:1:i STOCK:0000000100000049fe:1:n STOCK:0000000100000049fe:1:o STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n STOCK:0000000100000115fd:1:o
STOCK:0000000100000049fe:1:c STOCK:0000000100000049fe:1:i STOCK:0000000100000049fe:1:n STOCK:0000000100000049fe:1:o STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i STOCK:0000000100000115fd:1:n
STOCK:000000010000018351:1:q STOCK:0000000100000049fe:1:c STOCK:0000000100000049fe:1:i STOCK:0000000100000049fe:1:n STOCK:0000000100000049fe:1:o STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c STOCK:0000000100000115fd:1:i
STOCK:000000010000018351:1:p STOCK:000000010000018351:1:q STOCK:0000000100000049fe:1:c STOCK:0000000100000049fe:1:i STOCK:0000000100000049fe:1:n STOCK:0000000100000049fe:1:o STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q STOCK:0000000100000115fd:1:c
STOCK:000000010000018351:1:o STOCK:000000010000018351:1:p STOCK:000000010000018351:1:q STOCK:0000000100000049fe:1:c STOCK:0000000100000049fe:1:i STOCK:0000000100000049fe:1:n STOCK:0000000100000049fe:1:o STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p STOCK:0000000100000007b6:1:q
STOCK:000000010000018351:1:n STOCK:000000010000018351:1:o STOCK:000000010000018351:1:p STOCK:000000010000018351:1:q STOCK:0000000100000049fe:1:c STOCK:0000000100000049fe:1:i STOCK:0000000100000049fe:1:n STOCK:0000000100000049fe:1:o STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o STOCK:0000000100000007b6:1:p
STOCK:000000010000018351:1:i STOCK:000000010000018351:1:n STOCK:000000010000018351:1:o STOCK:000000010000018351:1:p STOCK:000000010000018351:1:q STOCK:0000000100000049fe:1:c STOCK:0000000100000049fe:1:i STOCK:0000000100000049fe:1:n STOCK:0000000100000049fe:1:o STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n STOCK:0000000100000007b6:1:o
STOCK:000000010000018351:1:c STOCK:000000010000018351:1:i STOCK:000000010000018351:1:n STOCK:000000010000018351:1:o STOCK:000000010000018351:1:p STOCK:000000010000018351:1:q STOCK:0000000100000049fe:1:c STOCK:0000000100000049fe:1:i STOCK:0000000100000049fe:1:n STOCK:0000000100000049fe:1:o STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i STOCK:0000000100000007b6:1:n
STOCK:00000001000000d68f:1:q STOCK:000000010000018351:1:c STOCK:000000010000018351:1:i STOCK:000000010000018351:1:n STOCK:000000010000018351:1:o STOCK:000000010000018351:1:p STOCK:000000010000018351:1:q STOCK:0000000100000049fe:1:c STOCK:0000000100000049fe:1:i STOCK:0000000100000049fe:1:n STOCK:0000000100000049fe:1:o STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c STOCK:0000000100000007b6:1:i
STOCK:00000001000000d68f:1:p STOCK:00000001000000d68f:1:q STOCK:000000010000018351:1:c STOCK:000000010000018351:1:i STOCK:000000010000018351:1:n STOCK:000000010000018351:1:o STOCK:000000010000018351:1:p STOCK:000000010000018351:1:q STOCK:0000000100000049fe:1:c STOCK:0000000100000049fe:1:i STOCK:0000000100000049fe:1:n STOCK:0000000100000049fe:1:o STOCK:0000000100000049fe:1:p STOCK:0000000100000049fe:1:q STOCK:0000000100000007b6:1:c
